,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
22632,내가얘기해주지 안철수는 보수에게실망한지지자들이 불러냈다 지금의안철수는뭐냐 오로지나는손해보지않는다는겨산이깔려있다,0.82,0.02,0.02,0.03,0.01,0.01,0.01,0.04,0.07,0.23
22691,안철수 X파일,0.8,0.01,0.02,0.04,0.01,0.03,0.02,0.07,0.07,0.19
23471,국토마라톤 당시 현장에서 응원의 인터뷰를 기억하시는지요 내딛는 한걸음 한걸음이 이나라 정치를 개혁하는 초석이 될거니 힘내시라는 DJ도 온갖 고난과 시련에 굴복하지 않고 끝까지 정치적 신념을 지켜 대통령에 당선된것을 기억하시고 절대 흔들리지 마시고 최선을 다 하시길 응원합니다,0.83,0.01,0.01,0.22,0.02,0.07,0.03,0.14,0.09,0.02
24599,ㅇㅅㅇ 지지율 떨어지고 있는 거 확실한데 혹시 막산이에게 지면 안철수 탓 글고 나중엔 부정선거 탓하겠지 내가볼땐 50은 자기 부족함 탓 나머지 50은 준서기 탓 586 민주당 정권 욕하느라 국힘쪽 좀 기울었었는데 아무리봐도 상종 못할 조직들 아무리봐도 구리다 철학도 없고 생각도 없는 후보,0.77,0.02,0.01,0.02,0.05,0.02,0.01,0.05,0.11,0.13
27136,다당제가 되지않는 것은 법이나 제도 때문이 아니라 제 3당을 창당하고 이끌어갈 인물이 없기때문이다 새정치에 대한 국민의 열망을 외면하고 민주당과 새정치연합 합당을 한 안철수가 지금와서 다당제를 거론하는 것도 말이 되지않는다,0.67,0.01,0.01,0.02,0.02,0.04,0.01,0.08,0.2,0.09
28034,640 안철수 X파일 대장동 그분 조재연대법관 딸은 안다 via,0.88,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.04,0.14
28597,안철수 정권 연장의 일등 공신의 길로 들어서다 민주당의 때 늦은 정치 개혁 먼저 심판을 받으라 노 정 단일화의 역풍이 몰려온다 대선 판도가 끝나간다 김영환TV철수야 비단 주머니를 줄테니 너도 단일화 결렬됐다고 말하니 정말로 그런 줄 안다 고 한번 말하고 돌아와라 늦지 않았다,0.73,0.02,0.03,0.01,0.01,0.01,0.01,0.04,0.07,0.27
28988,다시 한번 애기해드릴게요 정권교체는 안철수 후보님만 해당되요 진보 좌파 이재명 후보님 윤석열 후보님김건희 왈 우린 원래 좌파에요 윤석열 후보님 우리 문제인 대통령님 저도 국민인되요 저 명령한적 없어요,0.72,0.01,0.01,0.05,0.01,0.03,0.02,0.07,0.13,0.13
29390,안철수식 정치는 나도 지겹고 넌더리가 나지만 그게 이준석과 윤빠들의 조롱과 막말에 동조할 이유가 되진 않음 정권교체조차 무의미하게 느껴지는 대부분의 이유도 이준석과 윤빠들의 패악질에 있음 선사과후단일화,0.93,0.03,0.02,0.05,0.02,0.02,0.02,0.06,0.05,0.05
30233,4번타자 안철수,0.86,0.02,0.02,0.02,0.01,0.02,0.01,0.04,0.09,0.1
30287,대통령후보자이미지1 이재명 어두운 곳 낮은 곳 뭘 아는 공자2 윤석열 뭘 모르는 노자 3 심상정 칼 솜씨가 예리한 요리사 장자4 안철수 수술 중에 전화받고 나가 버린 의사 맹자,0.62,0.01,0.01,0.02,0.03,0.03,0.01,0.03,0.04,0.33
32075,안철수에게 자기에게 밀어닥치는 엄청난 민중의 기대가 무거운 책임감으로 느껴졌을 뿐이다 이러한 책임감은 결과에 구애되지 않고 의미 있는 정치적 가치를 실현하기 위해 정면으로 부딪치는 맹자적 동기주의에 기반한 책임감이다,0.84,0.04,0.02,0.02,0.01,0.01,0.01,0.08,0.13,0.07
32215,제1거대야당의 당대표란 지위로 소수당 약자를 무차별 조롱하고 모욕을 주는국민의힘 당대표 이준석이 윤석렬이 대통령이 되어 수렴청정을 단독 안철수에 구애한 이재명 책임총리제 띄운다,0.68,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.06,0.49
33582,자기도 오렌지색 당점퍼를 입던가 하지 혼자만 매번 백색만 입는 북왕조수괴 김정은 같이 저게 뭘까 안철수는 자아에 대한 특별의식이 너무나 강한 것 같다,0.84,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.1,0.15
33942,우리가 을 모욕했다 캠프서 흘러나온 단일화 자성론 철수를 하든 안하든 이준석 주둥아리는 닥쳐야 한다 정권교체 실패하면 윤석열 안철수 이준석 권영세 등과 제밥그릇 챙기려는 술수쟁이들 윤핵관은 몽땅 정계은퇴해야,0.89,0.03,0.02,0.04,0.01,0.05,0.01,0.04,0.08,0.08
33964,안철수 단일화 겁나서 도망쳤다,0.74,0.02,0.02,0.03,0.04,0.01,0.02,0.19,0.2,0.04
35535,안철수 눈엔 안철수 뿐인 듯요 같이 일하면 동료들 힘들게 하는 타입,0.75,0.05,0.01,0.04,0.01,0.02,0.01,0.02,0.03,0.21
35564,안철수 사람의 자아가 진하게 느껴지는건 처음,0.86,0.03,0.02,0.03,0.01,0.02,0.01,0.04,0.05,0.22
35689,안철수 후보가 한 말입니까,0.88,0.05,0.03,0.02,0.02,0.02,0.01,0.04,0.06,0.07
37409,입만 열면 거짓말 하는 짓마다 도둑질인 4 15부정선거 집단 문재인과 민주당 은 후대들에게 걸어가야 할 길을 제시할 수 없다 그들의 인생 자체가 거짓 인생 도둑 인생이기 때문이다 정권교체 없이는 미래 없다 윤석열 안철수의 조건없는 단일화로 압도적 정권교체하는 건 국민의 뜻,0.6,0.12,0.02,0.01,0.02,0.01,0.01,0.06,0.17,0.06
40553,안철수 이제 저의 길 가겠다 이준석 고인 유지 유세차 들어가기 전 유서 써놓고 가나 다음 뉴스 어머나 단일화 할줄 알았는데 의외,0.66,0.04,0.01,0.01,0.05,0.02,0.0,0.05,0.07,0.2
41273,안철수가 너무해 방미TV 뉴스팩트 출처,0.63,0.02,0.18,0.01,0.02,0.02,0.01,0.21,0.16,0.08
41347,안철수 안철수 안철수 안철수 안철수 힘 내라 힘,0.86,0.01,0.02,0.04,0.01,0.02,0.01,0.06,0.07,0.14
42010,빌 게이츠 코로나 이어 또다른 팬데믹 거의 확실 이거 안철수가 얘기한거잖아찰스 뽑아야 돼,0.66,0.07,0.02,0.01,0.01,0.01,0.01,0.05,0.16,0.06
42041,일단 여조엔 안철수 뽑을 거라 표명은 했지만 지금 상황에선 안 후보 뽑기가 상당히 저어됨 석씨돌림 자댕놈들 이렇게까지 혐오스러울 줄은 상상도 못했음,0.85,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.1,0.12
