,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
4249,새겨들었으면 닥치고 있어야지 왜 나대는거냐 송영길 민주당 미워 윤석열 안철수 지지하는 국민 목소리 새겨듣겠다 출처 이데일리 네이버 뉴스,0.02,0.03,0.03,0.03,0.02,0.94,0.02,0.02,0.03,0.08
4278,19대 대선 때 안철수 찍던 것들이 웃기고 자빠졌네요,0.01,0.01,0.01,0.02,0.01,0.84,0.02,0.02,0.06,0.13
4465,6번 나서 윤석열 외쳤다 단일화때와 확 달라진 안철수 출처 중앙일보 네이버 뉴스,0.02,0.01,0.01,0.03,0.01,0.77,0.01,0.02,0.04,0.25
4575,이 상황 넘 아까워요 이전 어떤 선거때보다도 안철수라는 이름이 많이 나왔고 진행중이였는데 하튼 울 집안42표 부정적인 과천에사는 고모가 안타까워 위로를 해 주던군요 한편 이상황도 예견하고 이루졌겠죠,0.01,0.01,0.02,0.04,0.01,0.89,0.02,0.03,0.04,0.11
4715,현직 변호사 안철수에 국민이 호구냐 정신적 충격 손배소 제기 피고 안철수 는 단일화를 계획했으면서도 국가기관 선관위 주관 선거방송에 출연해 전국민 상대로 마치 끝까지 완주할 것처럼 기만행위를 했다,0.02,0.01,0.02,0.03,0.01,0.86,0.02,0.03,0.05,0.12
4720,저도 같은 생각입니다 이준석이 기회를 잡듯이 안철수도 기회를 잡을 준비와 역량이 있길 바랍니다,0.01,0.01,0.02,0.03,0.01,0.73,0.02,0.02,0.04,0.27
4803,안철수 지지자들의 윤석열 선택은 당연하다 1 윤석열 안철수 단일화에 대해 위기를 느낀 민주당이 연일 공격을 퍼붓는다 안철수는 야합한 나쁜 정치인이고 국민들의 저항에 부딛쳐 역풍이 분다고 이에 안철수는 민주당도 은밀하게 자신에게 접근해 왔음을 토로했다,0.02,0.01,0.01,0.04,0.01,0.7,0.01,0.02,0.04,0.31
5002,안철수 윤석열 단일화 지지선언,0.02,0.01,0.02,0.04,0.01,0.8,0.02,0.08,0.06,0.07
5566,철학 팔아먹고 산 사기꾼들을 이태규 같은 개새끼보다 더 혐오하고 용서할 수 없는 이유는 철학부재의 타락한 윤썩열과 허위로 가득한 정권교체를 위해 안철수의 정치생명과 삶을 지탱해 오던 철학을 송두리채 무너트리고 청춘들의 희망과 사회적 가치관을 시궁창에 빠트렸기 때문입니다,0.02,0.02,0.02,0.06,0.02,0.94,0.02,0.03,0.03,0.06
5593,안철수 윤석열 더좋은 정권교체 확 와 닿는다 부디 그 마음 변치 마라,0.02,0.03,0.03,0.06,0.02,0.95,0.03,0.04,0.04,0.05
5925,인천시민 촛불 들고 안철수 윤석열 단일화 비판,0.01,0.01,0.02,0.02,0.03,0.76,0.01,0.05,0.06,0.1
6003,송영길 안철수 돈 때문에 합당 의혹 당은 지켰어야 다음 뉴스 저런 철수 찌질이가 정치 한다고,0.1,0.01,0.02,0.04,0.01,0.78,0.02,0.12,0.07,0.07
6149,제3지대 포지션에 남아 있길 바라는 수많은 정치적 동지들과 권 의원 등 어려운 길을 함께 걸어온 최측근 인사에게 충분히 설득하고 설명하지 못 한 것에 대해서는 비판과 지적이 불가피하다 평범한미디어 안철수에게 또 속은 권은희,0.01,0.01,0.02,0.03,0.02,0.67,0.01,0.05,0.08,0.08
6233,벌써 시작이군 인천시민 촛불 들고 안철수 윤석열 단일화 비판 다음 뉴스,0.01,0.01,0.02,0.04,0.01,0.82,0.02,0.03,0.04,0.15
6508,인천 시민단체 안철수 윤석열 단일화 야합 규탄 다음 뉴스,0.01,0.02,0.02,0.03,0.01,0.68,0.01,0.02,0.03,0.46
6738,밭갈이 하는 찐성남시민 안철수 윤석열 단일화 열 받아 못살겠다 이재명은 느껴야 합니다,0.02,0.01,0.01,0.02,0.01,0.88,0.02,0.05,0.07,0.08
6817,이재명표 심상정이 좀 가져갔을거 같은디 우리 친누나만 해도 안철수 심상정 고민했었지,0.01,0.01,0.02,0.02,0.03,0.77,0.01,0.04,0.05,0.1
6915,이게 뭐람 안철수 윤석열 이재명,0.03,0.02,0.02,0.08,0.04,0.95,0.03,0.09,0.03,0.03
6959,관상 손가락을 자르겠다던 위선자 안철수의 입을 보니 단일화한 이유를 알겠네 경악스러운 충격과 안철수의 진실을 밝힙니다,0.02,0.01,0.02,0.02,0.02,0.88,0.02,0.05,0.08,0.04
6972,윤석열 안철수는 그 전의 2 3등의 단일화와 근본적으로 다르다 1등 후보와 3등 후보의 집권 후 지방선거를 겨냥한 여권 단일화더 이번 대선은 윤석열 단독으로도 충분히 이간다 정권교체 후 중앙과 Jtbc 반드시 손을 봐야 헌다 낮에는 보수 행세 방에는 좌파 행세,0.02,0.02,0.02,0.03,0.01,0.76,0.02,0.02,0.03,0.43
7024,안철수 지지자 기존 지지 지지철폐자 모두 아닥해 눈깔봉사 야비스런 정신상태,0.01,0.01,0.01,0.02,0.01,0.63,0.01,0.06,0.12,0.15
7056,갑자기 드는 생각 안철수 존재감 팍팍 올라가고 있는 시점에 토론 끝나고 갑자기 윤석열 품에 안기는 바보 등신 짓거리 한 이유가 뭘까 윤 씨 에게 무슨 약점 이라도 잡혔나 아니면 왜 윤 씨 보다는 이재명 후보와 손을 잡았어야지,0.02,0.01,0.02,0.04,0.01,0.91,0.02,0.03,0.03,0.11
7076,이상돈교수 안철수 사람취급 안하더라는,0.02,0.02,0.02,0.05,0.01,0.91,0.02,0.02,0.03,0.1
7113,냉철하게 보면 됩니다 우리도 잠에서 깨야죠 안철수의 지지로 보고 배운건 국힘에서 어떻게 언론을 만들고 이용하고 말도 안되는 토론 베끼기 폭력등 대놓고 일장기 모사선거 이게 합당으로 성향이 바뀝니까 3월 9일까지 안댚은 윤석열 지지자일뿐인겁니다 이후는 안댚 능력이에요,0.02,0.01,0.02,0.02,0.01,0.72,0.01,0.03,0.07,0.24
7175,이번 선거에서 김동연이 왜 이재명과 단일화 했을까가 제일 궁금 안철수야 중도포기 하고 윤석렬에게 갈 것을 예상했지만,0.01,0.01,0.02,0.03,0.02,0.67,0.01,0.05,0.08,0.08
7202,정상남 이재명 2번남 윤석열 철수남 안철수,0.01,0.01,0.01,0.02,0.01,0.64,0.02,0.03,0.06,0.18
7272,7 이번 대선은 국민의 당 안철수 대표가 될 확률이 매우 높았습니다 지방은 이재명 윤석열 후보가 압도적으로 높은 것 맞는데 수도권에서 중상층 부류 위주로 안철수 지지하고 있었습니다 공무원 경찰이나 학생들도 이들이 이재명 윤석열 후보 정책이나 광명의 천사 수법 익히 알고서,0.01,0.01,0.01,0.03,0.01,0.61,0.01,0.02,0.06,0.39
7405,윤석열에 빵 터진 안철수 이준석과는 냉랭,0.02,0.01,0.01,0.03,0.01,0.81,0.02,0.03,0.06,0.1
7406,윤석열 표차이 엄청 나서 떨어질 게 뻔하고 안철수 땜에 조졌다고 그럴게 뻔합니다,0.04,0.01,0.02,0.03,0.02,0.9,0.01,0.03,0.03,0.12
7810,찐지지자들은 솔직히 배신감에 몸부림 치다가 이성이 좀 돌아오고나면 상황을 알아보고 정리하고 나서야 하나 둘 돌아오는 게 보통이지만 비판할 건 해야죠 화나는 게 정상이에요 저도 화는 나는 걸요 그럼에도 안철수보다 나은 정치인 없는 것 같아 일단 화난 거 나중에 풀라고 적립중이요,0.01,0.01,0.01,0.07,0.01,0.7,0.01,0.07,0.18,0.03
7874,윤석열 안철수와 첫 합동 유세 더 나은 나라로 진격,0.01,0.01,0.02,0.03,0.02,0.67,0.01,0.05,0.08,0.08
7982,안철수라는 이름은 이제 모릅니다,0.02,0.01,0.01,0.04,0.01,0.73,0.01,0.05,0.14,0.07
8076,사전투표 하러가서 투표용지 보는데 안철수 사퇴 되어있어서 가슴 미어짐 존나 날 조롱해 러시발들 전쟁 일으킨거에 제대로 된 시각 가진넘도 너뿐이었는데 이럴수있냐고,0.02,0.01,0.01,0.03,0.01,0.64,0.01,0.05,0.07,0.21
8209,안철수 오늘 이천 유세가 정치하면서 맛 본 최고의 순간일 듯 윤은 안을 높이 올려쳐주는데 선수네,0.02,0.01,0.01,0.17,0.01,0.79,0.02,0.1,0.06,0.04
8216,안철수 윤석열 유세 현장 첫 등장 정권교체 혼신의 힘 바치겠다 출처 국민일보 네이버 뉴스 단일화 성사 후 처음으로 함께 유세 나서 정권교체를 위해 단일화를 결심한 안철수 함께 더 나은 나라를 위해 함께 진격,0.02,0.02,0.02,0.04,0.05,0.94,0.02,0.06,0.04,0.06
8219,안철수와 윤석열이 GC된다는줄,0.09,0.01,0.02,0.09,0.03,0.85,0.01,0.18,0.05,0.06
8229,안철수는 윤석열 그늘아래서 그나마 날개를 필수는 있을거야 이 기회를 걷어차면 진짜 끝이라 봐야 합당후에 되도 않는 땡깡 피우면 이준석 뿐만 아니라 국힘애들 상당수가 철수 말려죽일거야 유승민도 바미당부터 철수맛을 봤는데 지켜만 보진 않을거라고,0.01,0.01,0.01,0.05,0.01,0.84,0.01,0.02,0.06,0.07
8305,안철수 지지자분들도 그냥 2번이 안철수라고 생각하고 찍어도 좋을듯 내가 본 윤석열은 함부로 약속을 파기하거나 사람을 이용만 해먹고 팽 시킬 사람이 절대 아님 윤석열이 대통령되면 안철수 조언을 많이 구할것,0.02,0.01,0.02,0.02,0.02,0.83,0.01,0.03,0.06,0.12
8357,안철수 이름 바꿔야 됨 안통수로,0.01,0.01,0.01,0.03,0.01,0.76,0.02,0.02,0.04,0.28
8473,안철수는 무슨 약점을 잡혔을까,0.01,0.01,0.02,0.02,0.03,0.76,0.01,0.05,0.06,0.1
8487,윤석열 안철수의 단일화에 대한 국민의당 최진석 상임선거대책위원장의 글 혹자는 이준석을 제압하기 위해서는 안철수에게 힘을 실어주어야 하기에 윤석열에게 투표해야 한다는 식으로 이야기하지만 윤을 낙선시키면 셋 모두에게 심판이 될 것이다,0.02,0.01,0.02,0.04,0.01,0.87,0.02,0.06,0.12,0.03
8846,전에 말하바 있는데 안철수최초선거가지방선거였죠 그후 10년이지났는데 액도 희망고문이라니 충격이네요 국힘에선 공천을 그냥경쟁없이해준다는건아닐텐테요 당원도 말했는데 50 의사람들이 4번을찍겠다고 하죠 당원투표로 결정하겠다고 한번도못한거 그것도문젭니다 위원장들앞박한다고 그대,0.01,0.01,0.01,0.02,0.02,0.65,0.01,0.02,0.04,0.38
8917,안철수,0.02,0.01,0.02,0.03,0.01,0.89,0.01,0.04,0.05,0.09
9012,개새드라 디저뿌라 디시인사이드 미국 정치 한국대선 광명을 안철수 사퇴 표,0.02,0.01,0.02,0.06,0.01,0.9,0.02,0.03,0.04,0.1
9050,권은희가안철수의대해서괭장한싫망감을 감출수없나봅니다 나름다당재해서 홀로우뚝서기을바랐던것인데 자기혼자살기위해서 당을산산히부셔버렸군요 철수가초딩맞네요,0.02,0.01,0.01,0.03,0.01,0.76,0.02,0.02,0.05,0.24
9142,이상돈교수의 안철수단일화비판,0.03,0.01,0.03,0.08,0.01,0.61,0.04,0.17,0.22,0.02
9446,안철수 상대방을 떨어뜨리기 위해 무능한 후보를 뽑으면 1년이 지나 그 사람 뽑은 손가락 자르고 싶다 고 할 것이다 주술에 씐 듯 마법에 걸린 듯 정권교체만 되면 다 될 것이라고 착각하는 분들이 많은데 그렇지 않다 손바닥 왕은 손가락 절단을 이길 수 없다 안철수의 매직 을 믿습니다,0.01,0.01,0.02,0.02,0.03,0.76,0.01,0.05,0.06,0.1
9614,시사논평 윤석열을 안철수로 최면 걸자 적폐 청산하고 아픈 국민 치료하고 병든 나라 살리는 최고의 조합 안철수 via,0.02,0.01,0.02,0.03,0.01,0.84,0.02,0.07,0.14,0.04
9977,그만 정치를 접으시는게 좋을 듯합니다 약속을 지키지 않는 사람은 더이상 믿지도 않으렵니다,0.01,0.01,0.02,0.04,0.01,0.84,0.02,0.03,0.06,0.06
