,text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
3414,에이씨 불꽃 박지현님 보다가 민주당 다른 남자 젊은 정치인들 보면 진짜 화딱지난다. 민주당내 남자 정치인들은 걍 여성친화적인 척하는 이미지 장사 그만해라. 젊은 정치인들중에 활동가 출신 정의당 장혜영 의원 및 불꽃 박지현님은 현실에 기반한 실제적인 아젠다라도 있지 젊은 남자정치인들은 입,0.63,0.02,0.02,0.02,0.01,0.04,0.0,0.07,0.18,0.18
3453,  박지현이나 권인숙은 어찌 생각하나 모르겠네? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ페미 ㅍ도 꺼내지 마 제발 ㅋ,0.75,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.12
3478,여성은 하찮지만 표는 필요하니 박지현씨를 내세워서 표팔이 하는거지 ,0.77,0.03,0.02,0.01,0.01,0.02,0.01,0.04,0.13,0.14
3494,역시 선거이후 뭐 해주겠다는 얘기없이 박지현 위험에 던져 놓은거 맞구나내가 반 장난으로 재명이를 위한 페미전사들 깜찍하다고 놀렸지만 진짜 이렇게 순진해서 어쩌냐 아이고 속터져ㅠ저기요 지현씨ㅠㅠㅠ정신차려요ㅠㅠㅠㅠ ,0.72,0.02,0.02,0.03,0.01,0.01,0.01,0.03,0.1,0.21
3509,여자들이 왜 이런 사람들에 의해 좌지우지 된다고 생각하는거지?여성을 아무생각 없는 존재로 지워버리네 자기결정권을 박지현한테 맡길리가 있나 자리하나로 힘이 생겼다니 말이야 막걸리야 ,0.69,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.15,0.1
3523,   그럼요 그럼요. 동의함니다. 🧠가 정상이라면 이건 기본이죠. 누가 저런 썩은 녀 들과 ㄴ ㅗ ㅁ 을 😖😖😖👺👺👺진작에 구속해서 사퇴시켰어야 할것들을 .. 투표로 짓밟아버려야함니다. 우리들과 우리들의 2세들을 위해서. ✊✊✊🤮🤮🤮,0.62,0.03,0.02,0.02,0.01,0.01,0.01,0.05,0.37,0.06
3553,박지현이 자기가 힘을 가져야 하니페미들에게 민주당 가입많이 해달라네민주당 여러분 주사페미 여시당 이 되겠네요이야 권력 좋아하네요,0.93,0.02,0.02,0.04,0.02,0.04,0.02,0.08,0.06,0.07
3578,하 진짜 ㄹㅇ 맞말인게 딱 젊은여성층에 소구할 수 있게 박지현님 영입한 권의원님 그리고 응해주신 박지현님이 너무 대단해올드페미 영페미 연대 영원해야되고 이재명 청와대 가도 계속 올드페미 영페미들이 정부 옆에 빠짝붙어있어야된다.. 여가부 말고도 모든부처에 다 페미 영입해 알겠지..,0.84,0.02,0.01,0.05,0.01,0.01,0.01,0.04,0.06,0.22
3683,촛불도 이화여대로부터 치솟았는데 박지현이 쏘아올린 불꽃놀이 하나가 시작해서 불꽃축제 여기저기 빵빵 터지는 느낌임. 하여튼 위기의 순간에 나라 구하는건 여자라는게 명백한 것 같으니 다음에 여통령 한번 추진해!!! 그때도 축제 한판 벌여!!!,0.73,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.06,0.23
3820,  그러면 윤썩열이 여성공약 낸게  머임?페미를 뽑는게 아니고갈라치기 하지 않는 정상적인사람과 이사회의 구조적 성차별인식이있는 사람을 뽑는거다.페미니즘이 휴머니즘이라고 하는사람은 아니지 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ,0.7,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.11,0.23
